stasiun,pm10,so2,co,o3,no2,max,critical,categori
2.0,51.0,24.0,10.0,65.0,5.0,65.0,1.0,2.0
2.0,58.0,25.0,13.0,58.0,9.0,58.0,2.0,2.0
2.0,50.0,25.0,11.0,61.0,8.0,61.0,1.0,2.0
2.0,55.0,26.0,15.0,70.0,10.0,70.0,1.0,2.0
2.0,56.0,26.0,13.0,86.0,8.0,86.0,1.0,2.0
3.0,91.0,27.0,26.0,90.0,7.0,91.0,2.0,2.0
3.0,73.0,27.0,7.0,69.0,5.0,73.0,2.0,2.0
3.0,86.0,26.0,13.0,81.0,5.0,86.0,2.0,2.0
3.0,88.0,27.0,13.0,72.0,5.0,88.0,2.0,2.0
3.0,81.0,26.0,11.0,97.0,4.0,97.0,1.0,2.0
3.0,79.0,28.0,9.0,70.0,3.0,79.0,2.0,2.0
3.0,74.0,25.0,8.0,66.0,2.0,74.0,2.0,2.0
3.0,81.0,25.0,10.0,62.0,3.0,81.0,2.0,2.0
3.0,81.0,24.0,16.0,37.0,4.0,81.0,2.0,2.0
3.0,53.0,15.0,14.0,36.0,8.0,36.0,1.0,1.0
3.0,53.0,23.0,21.0,35.0,9.0,35.0,1.0,1.0
3.0,53.0,24.0,11.0,54.0,8.0,54.0,1.0,2.0
3.0,53.0,22.0,17.0,50.0,7.0,50.0,1.0,1.0
3.0,75.0,23.0,17.0,64.0,10.0,75.0,2.0,2.0
3.0,80.0,32.0,20.0,75.0,11.0,80.0,2.0,2.0
3.0,62.0,30.0,6.0,46.0,6.0,62.0,2.0,2.0
3.0,71.0,32.0,5.0,44.0,7.0,71.0,2.0,2.0
3.0,84.0,31.0,13.0,49.0,10.0,84.0,2.0,2.0
3.0,72.0,32.0,17.0,64.0,10.0,72.0,2.0,2.0
3.0,79.0,31.0,15.0,45.0,9.0,79.0,2.0,2.0
3.0,74.0,33.0,11.0,48.0,10.0,74.0,2.0,2.0
3.0,57.0,31.0,7.0,57.0,7.0,57.0,2.0,2.0
